iter	Passed	Remaining
0	90	45098
1	112	28095
2	136	22575
3	159	19797
4	183	18181
5	206	16982
6	228	16109
7	253	15567
8	277	15133
9	301	14783
10	323	14390
11	347	14112
12	376	14095
13	399	13857
14	424	13718
15	448	13562
16	472	13412
17	499	13363
18	525	13306
19	551	13230
20	576	13160
21	602	13083
22	629	13056
23	655	13006
24	682	12968
25	710	12948
26	736	12904
27	765	12900
28	792	12868
29	818	12818
30	842	12745
31	867	12684
32	896	12692
33	921	12626
34	944	12550
35	970	12512
36	999	12507
37	1026	12485
38	1055	12473
39	1079	12415
40	1105	12376
41	1133	12360
42	1159	12326
43	1183	12267
44	1209	12232
45	1233	12169
46	1257	12124
47	1284	12099
48	1311	12074
49	1339	12057
50	1368	12045
51	1393	12008
52	1420	11976
53	1443	11919
54	1469	11887
55	1490	11818
56	1510	11736
57	1531	11668
58	1568	11720
59	1680	12326
60	1701	12243
61	1721	12159
62	1741	12078
63	1761	11999
64	1783	11937
65	1803	11856
66	1822	11776
67	1842	11704
68	1866	11660
69	1925	11828
70	1954	11811
71	2035	12098
72	2115	12375
73	2197	12651
74	2246	12731
75	2269	12662
76	2293	12599
77	2326	12587
78	2392	12747
79	2424	12730
80	2449	12669
81	2473	12607
82	2493	12528
83	2513	12448
84	2534	12372
85	2554	12296
86	2574	12221
87	2594	12145
88	2614	12074
89	2632	11992
90	2651	11916
91	2670	11842
92	2691	11777
93	2711	11710
94	2731	11646
95	2752	11583
96	2775	11529
97	2792	11456
98	2815	11406
99	2836	11346
100	2858	11292
101	2877	11227
102	2897	11166
103	2923	11133
104	2950	11101
105	2975	11060
106	3003	11033
107	3029	10995
108	3056	10963
109	3082	10929
110	3107	10890
111	3119	10807
112	3146	10776
113	3171	10738
114	3195	10696
115	3216	10649
116	3242	10614
117	3269	10583
118	3298	10560
119	3320	10513
120	3343	10472
121	3368	10438
122	3394	10404
123	3418	10366
124	3440	10320
125	3467	10292
126	3492	10257
127	3516	10220
128	3541	10186
129	3559	10129
130	3584	10098
131	3608	10061
132	3631	10022
133	3659	9994
134	3682	9955
135	3705	9917
136	3726	9874
137	3753	9845
138	3777	9810
139	3802	9777
140	3826	9741
141	3846	9698
142	3870	9662
143	3891	9621
144	3918	9594
145	3939	9552
146	3966	9523
147	3993	9496
148	4016	9461
149	4044	9437
150	4072	9412
151	4099	9385
152	4126	9359
153	4154	9333
154	4177	9297
155	4203	9270
156	4226	9234
157	4252	9204
158	4275	9170
159	4304	9146
160	4325	9108
161	4352	9080
162	4378	9053
163	4406	9027
164	4433	9000
165	4457	8969
166	4487	8947
167	4515	8922
168	4540	8893
169	4570	8871
170	4596	8843
171	4621	8812
172	4648	8786
173	4674	8758
174	4703	8735
175	4730	8708
176	4755	8678
177	4780	8648
178	4804	8615
179	4829	8586
180	4855	8556
181	4883	8532
182	4905	8497
183	4928	8464
184	4956	8439
185	4980	8408
186	5002	8372
187	5026	8341
188	5049	8309
189	5079	8286
190	5104	8258
191	5133	8234
192	5160	8208
193	5185	8179
194	5216	8159
195	5243	8132
196	5266	8100
197	5292	8072
198	5314	8039
199	5340	8010
200	5371	7990
201	5398	7964
202	5428	7942
203	5454	7913
204	5476	7881
205	5509	7863
206	5541	7843
207	5570	7819
208	5599	7796
209	5626	7769
210	5656	7748
211	5688	7727
212	5712	7697
213	5743	7675
214	5767	7645
215	5796	7620
216	5823	7594
217	5854	7573
218	5884	7549
219	5918	7532
220	5955	7518
221	5983	7492
222	6017	7475
223	6063	7471
224	6112	7470
225	6144	7449
226	6175	7426
227	6217	7416
228	6253	7400
229	6300	7395
230	6341	7385
231	6373	7362
232	6430	7369
233	6459	7342
234	6499	7329
235	6529	7304
236	6561	7281
237	6595	7261
238	6627	7237
239	6654	7208
240	6682	7181
241	6711	7155
242	6740	7128
243	6771	7104
244	6801	7079
245	6830	7052
246	6861	7028
247	6890	7001
248	6917	6972
249	6951	6951
250	6980	6925
251	7012	6901
252	7039	6872
253	7067	6844
254	7095	6816
255	7124	6791
256	7154	6764
257	7179	6734
258	7209	6708
259	7240	6683
260	7266	6654
261	7294	6626
262	7321	6597
263	7351	6571
264	7378	6543
265	7406	6515
266	7437	6490
267	7465	6462
268	7492	6434
269	7528	6412
270	7560	6388
271	7590	6362
272	7625	6340
273	7681	6335
274	7768	6356
275	7845	6367
276	7977	6422
277	8010	6396
278	8094	6411
279	8194	6438
280	8274	6448
281	8321	6432
282	8354	6405
283	8408	6395
284	8447	6372
285	8490	6352
286	8535	6334
287	8572	6310
288	8623	6295
289	8662	6272
290	8695	6245
291	8723	6214
